wilayah,total_sampah
KABUPATEN BOGOR,13113.490000000002
KABUPATEN SUKABUMI,4038.19
KABUPATEN CIANJUR,6497.919999999999
KABUPATEN BANDUNG,11934.04
KABUPATEN GARUT,4484.29
KABUPATEN TASIKMALAYA,3531.33
KABUPATEN CIAMIS,2329.72
KABUPATEN KUNINGAN,2486.63
KABUPATEN CIREBON,3205.17
KABUPATEN MAJALENGKA,2593.39
KABUPATEN SUMEDANG,2532.71
KABUPATEN INDRAMAYU,5383.18
KABUPATEN SUBANG,4735.530000000001
KABUPATEN PURWAKARTA,2262.9
KABUPATEN KARAWANG,5997.44
KABUPATEN BEKASI,11328.27
KABUPATEN BANDUNG BARAT,4972.370000000001
KABUPATEN PANGANDARAN,1277.55
KOTA BOGOR,5952.47
KOTA SUKABUMI,1833.7299999999998
KOTA BANDUNG,14521.779999999999
KOTA CIREBON,1887.57
KOTA BEKASI,15504.310000000001
KOTA DEPOK,12209.61
KOTA CIMAHI,3112.35
KOTA TASIKMALAYA,2754.7799999999997
KOTA BANJAR,758.93
